Course,Title,Program,Quantitative Reasoning,Scientific Inquiry,Artistic Process,Social Inequality,Cultural Differences,Ethical Judgment
AFS 110,Intro to African Experience,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 115,Demythologizing Race,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 130,Black Freedom and its Critics,Africana Latino,,Substantially,,Substantially,,Partially
AFS 150,Foundations Africana Studies,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 180,The Black Atlantic,Africana Latino,,Substantially,,Substantially,Partially,
AFS 208,Growing Up Black,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 211,Black Earth,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 219,N.African Cinema & Literature,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 230,Revolutionary Poetics,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 235,Frantz Fanon the Revolutionary,Africana Latino,,Substantially,,Substantially,Partially,Partially
AFS 305,African-Amercian Autobiography,Africana Latino,,Substantially,,Substantially,,
AFS 309,Black Cinema,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 310,Black Images/White Myths,Africana Latino,,Substantially,,Substantially,Partially,Partially
AFS 311,Social Media Empires,Africana Latino,,Substantially,,Substantially,,Substantially
AFS 312,Digital Africana Studies,Africana Latino,,Substantially,,Substantially,Partially,Partially
AFS 315,#blacklivesmatter,Africana Latino,,Substantially,,Substantially,Partially,Partially
AFS 325,Apartheid City in E. Africa,Africana Latino,,Substantially,,Substantially,Partially,Partially
AFS 326,Black Popular Culture,Africana Latino,,Substantially,,Substantially,Substantially,
AFS 410,Deconstructing the Police,Africana Latino,,Substantially,,Substantially,,Partially
AFS 465,Africana Studies Capstone,Africana Latino,,Substantially,,Substantially,Substantially,
AMST 101,Topics in American Studies,American Studies,,Substantially,,Substantially,,
AMST 201,Methods of American Studies,American Studies,,Substantially,,Substantially,Partially,
AMST 202,Drawing for Study&Storytelling,American Studies,,,Substantially,,,
AMST 204,Sexuality & Disability,American Studies,,Substantially,,Substantially,,
AMST 205,Sexuality and Space,American Studies,,Substantially,,Substantially,,Substantially
AMST 206,America Through Russian Eyes,American Studies,,,,,Substantially,
AMST 207,Baseball and America,American Studies,,Partially,,Partially,Partially,
AMST 208,Race & Ethnic Relations,American Studies,,Partially,,Partially,,Partially
AMST 213,Poverty and Place,American Studies,Partially,Substantially,,Substantially,,
AMST 215,"Power, Privilege, the Other",American Studies,,Substantially,Partially,Substantially,Partially,
AMST 221,Immigrant Arts,American Studies,,Substantially,,Substantially,Substantially,
AMST 223,Inequalities,American Studies,,Substantially,,Substantially,,
AMST 237,Environ Justice Indian Country,American Studies,,Substantially,,Substantially,Partially,
AMST 260,Critical Family History,American Studies,,Substantially,,Substantially,,
AMST 270,Storytelling with Data:,American Studies,Substantially,Partially,,Partially,,
AMST 275,Drawing Stories Abroad,Global Education,,,Substantially,,,
AMST 301,Cultural Theory,American Studies,,Partially,,Partially,,Substantially
AMST 303,Diversity Capitalism,American Studies,,Substantially,,Substantially,,
AMST 312,Critical Space Theory&Practice,American Studies,,,Partially,,Partially,Substantially
AMST 330,Digital Humanities,American Studies,,Partially,,Partially,,
AMST 332,Racial Regimes & Antiracisms,American Studies,,Substantially,,Substantially,,Partially
AMST 333,Other American Studies,American Studies,,Partially,Partially,Partially,Partially,
AMST 349,"Gender, Space, and Narrative",American Studies,,Substantially,Substantially,Substantially,,
AMST 351,Archives of American Lit,American Studies,,Partially,,Partially,Partially,
AMST 353,Alienation & Intimacy,American Studies,,Substantially,,Substantially,Substantially,
AMST 360,Debating Community:,American Studies,,Substantially,Partially,Substantially,Partially,
ANTH 102,World Prehistory,Anthropology,,Partially,,Partially,Substantially,
ANTH 110,Intro Cultural Anthropology,Anthropology,,Substantially,,Substantially,Substantially,
ANTH 115,Language and Culture,Anthropology,,Partially,,Partially,Substantially,
ANTH 205,"Race, Class & Ethnicity",Anthropology,,Substantially,,Substantially,Substantially,
ANTH 206,Early Cities,Anthropology,,Partially,,Partially,Substantially,
ANTH 212,NGOs and Development,Anthropology,,Substantially,,Substantially,Partially,
ANTH 217,Precolonial Africa,Anthropology Sociology,,Partially,,Partially,Substantially,
ANTH 218,"""It belongs in a museum!""",Anthropology Sociology,,Partially,,Partially,Partially,Substantially
ANTH 220,Sex Roles,Anthropology,,Substantially,,Substantially,Substantially,
ANTH 222,Native American Religions,Anthropology,,,,,Substantially,
ANTH 228,Physical Anthropology,Anthropology,,Partially,,Partially,,Partially
ANTH 260,Medical Anthropology,Anthropology,,Substantially,,Substantially,Partially,
ANTH 273,Research Methods,Anthropology,,Partially,,Partially,Partially,Partially
ANTH 280,Environment & Culture,Anthropology,,Partially,,Partially,Partially,Partially
ANTH 282,North American Indians,Anthropology,,Partially,,Partially,Substantially,
ANTH 290,"Pharaohs, Fellahin, Fantasy",Anthropology,,Partially,,Partially,Substantially,
ANTH 296,"Africa: Beyond Crisis,Pov,Aid",Anthropology,,Substantially,,Substantially,Substantially,
ANTH 306,Hist Anth Theory,Anthropology,,Substantially,,Substantially,Substantially,
ANTH 310,Experiment Archaeology,Anthropology Sociology,Partially,,,,,
ANTH 316,Visual Anthropology,Anthropology Sociology,,Partially,Partially,Partially,Partially,
ANTH 319,Feminist & Political Anthro,Anthropology,,Partially,,Partially,Substantially,
ANTH 323,Ethnographies of Capitalism,Anthropology,,Substantially,,Substantially,Partially,
ANTH 326,Pre-Columbian Mesoamerica,Anthropology,,Partially,,Partially,Substantially,
ANTH 330,The Anthropology of Creativity,Anthropology,,,Substantially,,Substantially,
ANTH 341,Sem:   Making Babies,Anthropology,,Partially,,Partially,Substantially,
ANTH 354,"Sem: Food, Meaning, Voice",Anthropology,,Partially,,Partially,Substantially,
ANTH 465,Senior Seminar,Anthropology,,Substantially,,Substantially,Substantially,
ARAB 102,Beginning Arabic II,Self-Instructional Language Pg,,,,,Substantially,
ARAB 201,Intermediate Arabic I,Self-Instructional Language Pg,,,,,Substantially,
ARAB 202,Intermediate Arabic II,Self-Instructional Language Pg,,,,,Substantially,
ARCH 412,Social Construction of Space,Architectural Studies,,Substantially,Partially,Substantially,,Substantially
ARCS 202,Watercolor Sketching,Architectural Studies,,,Substantially,,,
ARCS 204,Introduction to Digital Design,Architectural Studies,,,Substantially,,,
ARCS 210,Berlin: Politics Memory&Space,Architectural Studies,,Partially,Substantially,Partially,Partially,
ARCS 300,Architecture Design Studio,Architectural Studies,,,Substantially,,,
ARCS 301,Design II: Immediate Environme,Architectural Studies,,,Substantially,,,
ARTH 101,Ancient to Medieval Art,Art and Architecture,,,,,Substantially,
ARTH 102,Renaissance to Modern,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 103,Introduction to Asian Art,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 201,Black Arts in America,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 205,Gender and Display,Art and Architecture,,Substantially,,Substantially,,
ARTH 206,Greece-Greek Revival in Archit,Art and Architecture,,,,,Partially,Partially
ARTH 208,Greek Art & Architect,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 209,Chinese Pictures: 1000 Years,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 210,"Women Artists, 1300-1750",Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 212,Arts of Modern China,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 214,Introduction to Museum Studies,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 218,Gothic Art & Architecture,Art and Architecture,,Partially,,Partially,Substantially,Partially
ARTH 221,Italian Renaissance,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 225,Drawing on Rome,Global Education,,Partially,,Partially,Substantially,
ARTH 230,The Age of Michelangelo,Art and Architecture,,Partially,,Partially,Substantially,
